Age x,lx,dx,qx,lx,dx,qx,lx,dx,qx
0,1,1,0.00249291,1,1,0.0021904,1,1,0.00234568
1,0,0,0.00019564,0,0,0.00015258,0,0,0.00017468
2,0,0,0.00014114,0,0,0.00010893,0,0,0.00012547
3,0,0,0.00010689,0,0,0.00008112,0,0,0.00009435
4,0,0,0.00008633,0,0,0.00006491,0,0,0.0000759
5,0,0,0.00008565,0,0,0.00005894,0,0,0.00007265
6,0,0,0.00008209,0,0,0.00006031,0,0,0.00007149
7,0,0,0.00007729,0,0,0.00006314,0,0,0.0000704
8,0,0,0.0000651,0,0,0.00006209,0,0,0.00006364
9,0,0,0.00006556,0,0,0.00006438,0,0,0.00006498
10,0,0,0.0000686,0,0,0.00006516,0,0,0.00006693
11,0,0,0.00007336,0,0,0.00006524,0,0,0.00006941
12,0,0,0.00008142,0,0,0.00006829,0,0,0.00007503
13,0,0,0.00009726,0,0,0.00007811,0,0,0.00008794
14,0,0,0.00012384,0,0,0.00008782,0,0,0.0001063
15,0,0,0.0001611,0,0,0.00009647,0,0,0.00012964
16,0,0,0.00021184,0,0,0.00012081,0,0,0.00016753
17,0,0,0.00026676,0,0,0.00012608,0,0,0.00019827
18,0,0,0.00030732,0,0,0.00013729,0,0,0.00022454
19,0,0,0.00034253,0,0,0.00014004,0,0,0.00024394
20,0,0,0.00037044,0,0,0.00013861,0,0,0.00025755
21,0,0,0.00038013,0,0,0.00013324,0,0,0.00025989
22,0,0,0.00038267,0,0,0.00013723,0,0,0.00026312
23,0,0,0.00038805,0,0,0.00014435,0,0,0.00026933
24,0,0,0.00039267,0,0,0.00014974,0,0,0.00027431
25,0,0,0.00040381,0,0,0.00015791,0,0,0.00028399
26,0,0,0.00043,0,0,0.00016647,0,0,0.00030157
27,0,0,0.00045571,0,0,0.00017325,0,0,0.00031804
28,0,0,0.00046949,0,0,0.00018356,0,0,0.00033011
29,0,0,0.00047729,0,0,0.0001992,0,0,0.00034171
30,0,0,0.00049112,0,0,0.00021224,0,0,0.00035514
31,0,0,0.00051312,0,0,0.00023331,0,0,0.00037666
32,0,0,0.00052563,0,0,0.00026048,0,0,0.0003963
33,0,0,0.00056192,0,0,0.00028097,0,0,0.00042487
34,0,0,0.00060581,0,0,0.0003041,0,0,0.00045861
35,0,0,0.00063739,0,0,0.00033697,0,0,0.0004908
36,0,0,0.00067813,0,0,0.00036654,0,0,0.00052606
37,0,0,0.0007431,0,0,0.000402,0,0,0.0005766
38,0,0,0.00078254,0,0,0.00045436,0,0,0.00062232
39,0,0,0.00085654,0,0,0.00049687,0,0,0.00068092
40,0,0,0.00095952,0,0,0.00055335,0,0,0.00076116
41,0,0,0.00107131,0,0,0.00063108,0,0,0.00085626
42,0,0,0.00119761,0,0,0.00069445,0,0,0.00095177
43,0,0,0.00132388,0,0,0.00077206,0,0,0.00105419
44,0,0,0.00146119,0,0,0.00087045,0,0,0.00117239
45,0,0,0.00158397,0,0,0.00095942,0,0,0.00127854
46,0,0,0.00171506,0,0,0.00105788,0,0,0.00139357
47,0,0,0.00187291,0,0,0.00114807,0,0,0.0015182
48,0,0,0.00201618,0,0,0.00122506,0,0,0.00162888
49,0,0,0.00217232,0,0,0.00129185,0,0,0.0017411
